sentiment,text,selected_text
neutral,"oh, happy mother's day in those countries where that's what day it is. mother's day was march 22nd here"," oh, happy mother's day in those countries where that's what day it is. mother's day was march 22nd here"
positive,about to present my project., about to present my project.
positive,"soon we are going to look at a cabaret, it's going to be fun!", fun!
positive,@rove1974 looking forward to the show tonight. can't wait for ol mate @dhughsey to, looking forward
negative,@shadowsinstone and i'm listening., i'm listening.
negative,my picture won't update., my picture won't update.
negative,@missmadalena err i think they're like 15 bucks a ticket cause its 3d too. too expensive, too expensive
negative,sitting in the tax collectors office.    getting ready to write a check., sitting in the tax collectors office. getting ready to write a check.
negative,"hey everyone, guess what? rooney isn't coming today!", rooney isn't coming today!
neutral,@pmaniac thats kickass news !!, @pmaniac thats kickass news !!
negative,i don't wanna go to work tonight., i don't wanna go to work tonight.
neutral,@chiefie you will hav to ask him, @chiefie you will hav to ask him
positive,"also, lipton's sparkling green tea is gross", gross
negative,"waiting for minami, then london and cobra. i'm going to miss her loads", miss
positive,"gusying up for  dinner, bourbon &amp; branch, zeitgeist and surprise party for taylor!   shh...", surprise party for taylor! shh...
negative,i don't have enough close contacts on twitter to do follow friday  #followfriday, i don't have enough close contacts
positive,"this thing really demands a lot of time! anyways, gotta get some breakfast and watch naruto's latest episode", this thing really demands a lot of time!
negative,guys my phone is dying!!!, dying!!!
negative,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  shit!", shit!
negative,"@rscheuer sorry, is only in spanish for the moment"," sorry,"
negative,@wollemipine probably because it's getting chilly here, chilly
negative,how amazing is hollyoaks! but my poor warren lmao!, poor warren lmao!
positive,@miss_om &quot;if i should paint my fingernails green- oh and it just so happens i do paint them green...&quot;  marvelous, marvelous
positive,@_purplerose_ happy m0ther's day ms. rhix, happy
neutral,"just a very quick 'hello' , 'goodbye' &amp; 'enjoy the party' from this very tired uk blogger who unfortunately needs sleep  #beatwittyparty"," just a very quick 'hello' , 'goodbye' &amp; 'enjoy the party' from this very tired uk blogger who unfortunately needs sleep #beatwittyparty"
negative,"hey, @jonaknt i'll be in sa then  maybe if we cross highways we can grab lunch?"," hey, @jonaknt i'll be in sa then maybe if we cross highways we can grab lunch?"
negative,at the art all state. i feel very sick., i feel very sick.
neutral,i'm out..., i'm out...
positive,finally made it to the qc...happy mother's day!  got my car!!,happy
negative,@ab_normal shucks!  sorry!  sometimes i get wrapped up in fb and forget to check  how you doin'?, sorry!
neutral,@soyko i have spammed/trolled howardforums.com as well. i have to keep bumping my thread, @soyko i have spammed/trolled howardforums.com as well. i have to keep bumping my thread
negative,up odee early qot a call from some1 who i haven't heard from in a very lonq time, i haven't heard from in a very lonq time
neutral,@aewang he didn't know there was going to be a test, @aewang he didn't know there was going to be a test
negative,"@abeerak woooooow i wanna join the maseera, but on bed rest can't drive  r thy going crazy or its the boring type?", can't drive r thy going crazy or its the boring type?
positive,don't follow your dreams; chase them.- richard dumb (who i think is very smart, smart
negative,"tired and didn't really have an exciting saturday.  oh well, hope it's better tomorrow.", tired
negative,"@kausarazam  hew how u been????srry i haven't posted a vid in forever,i feel guilty lol,so in the next few days hopefully", guilty
positive,"making a video for hitrecord... hope it comes out well, it'll be my first record", hope
positive,@bpmore  that last one was just for you, that last one was just for you
negative,"@krissysalisbury oh, don't spoil my fun, lol"," don't spoil my fun,"
neutral,@lordwow i'm still waiting for separate ways..., @lordwow i'm still waiting for separate ways...
neutral,#frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day, #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day
positive,"@adamsatayer lol, so your mum likes a bit of the ol' clergy ordained ultra violence?", likes
negative,i want a lie in tomorrow! won't be getting one though, i want a lie in tomorrow! won't be getting one though
negative,i'm very sorry for the little disturbance at #sapinsidetrack in palo alto! just went into a debugging session when lines unmuted, i'm very sorry
positive,it's midnight., it's midnight.
neutral,@ginaxmarie  but that is the only logical reason why you'd get hollered at 3x in the past hour. but what is dnw?, @ginaxmarie but that is the only logical reason why you'd get hollered at 3x in the past hour. but what is dnw?
negative,"lied last weekend when she said she wouldn't get upset, just an fyi.", lied
negative,"@redfaction the stream is amazing so far. will it be up for download later, sadly enough, i missed the first hour of it."," sadly enough, i missed the first hour of it."
negative,they wouldn't reverse any of my overdraft fees., they wouldn't reverse any of my overdraft fees.
positive,"@bratinella, @carambs - muji  yipee. is anybody coming here? i can send them over hahaha. but can somebody bring jt's bsg disks? haha", haha
negative,@sirhova i was supposed to go to philly as well....bailed out last minute,bailed out last minute
negative,the low point: a poor pigeon outside my building isn't capable of flying. it's just wandering up and down the sidewalk. so sad, so sad
neutral,"@khtemplar is my son - he gets my vote today coz he has grown into a loving, caring 'soul-full' man - who loves his mum"," @khtemplar is my son - he gets my vote today coz he has grown into a loving, caring 'soul-full' man - who loves his mum"
negative,i totally need to go to the doctor for my arm...this bitch is still hurtin like hell      i shall return, hurtin
negative,do you ever get the idea that your are completely talking to yourself on twitter?, do you ever get the idea that your are completely talking to yourself on twitter?
negative,"starting a new diet today. i don't want to get fat. besides, its almost bathing suit season! *lol*", i don't want to get fat.
negative,ugh! my teeth hurt! its taking the enjoyment out of jack-in-the-box., ugh! my teeth hurt!
neutral,@smashingpumpkin http://twitpic.com/67h72 -, @smashingpumpkin http://twitpic.com/67h72 -
positive,@johncmayer that widewale courduroy'll get ya everytime!, that widewale courduroy'll get ya everytime!
negative,"@gamboasan hmmm it's middle of a zombie-making day @ work here, dunno if jazz would help", dunno if jazz would help
negative,"@isaacmascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!", i'm sorry
negative,@serda23 depends on what they want for it....i've become poor again, poor again
positive,download movie  &quot;jackass 3&quot; http://tinyurl.com/caotku cool #movie, cool
negative,shoutout to reyah my fellow philly homegirl we're both making the best of hard situations  (push) pray until something happens.. much love, we're both making the best of hard situations
negative,i don't like thunder. and neither does the doggy., i don't like thunder.
negative,big news?! but i don't know if i can share it., i don't know if i can share it.
negative,@jpmizdelicious  hii,delicious
neutral,watching ugly betty, watching ugly betty
negative,@angelofmusic11 and why can't toy story come out this june, why can't toy story come out this june
positive,new comic posted. introducing  &quot;joe! - the mini strip&quot;  http://tinyurl.com/oasxx2 (via @mbillingsley80) cute mother's day strip!, cute
negative,"@wykrzyknik uff, ble litt trist av ï¿½ lese den siste tweetsen din  the challenge prooved too be tough!! :'(",ugh!! :'
negative,karma is a bitch ! i just got hung up on  lol i'm still a big dawg though, bitch
negative,damn i failed in my assassination attempt on louis  re: http://ff.im/3mrim, damn i failed
positive,@missverna http://twitpic.com/4visl - wow this looks incredible! wicked job on the butterflies! they're fantastic!, wow this looks incredible! wicked job on the butterflies! they're fantastic!
